Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,Sto,Sk.F,FiV,TB,Frk,Stl,Blk,Stp,Gul,2m,Rau
Haukar,Berglind Benediktsdóttir,2020/21,15,0.5,33.3,0,0,0.1,0.3,0.1,0.5,0.1,0.1,0.2,2,0.1,0.1,0
Haukar,Berglind Benediktsdóttir,2019/20,18,0.7,54.5,0,0,0.3,0.4,0,0.5,0.1,0.1,0,3.3,0.1,0.3,0
HK,Berglind Þorsteinsdóttir,2019/20,12,0.8,58.8,0,0,0.6,0.6,0.1,0.5,0,0.7,1.1,4.3,0.3,0.8,0
Fram,Berglind Benediktsdóttir,2018/19,27,0.5,53.8,0,0,0.1,0.2,0.1,0.3,0.1,0.1,0.1,1,0,0.1,0
HK,Berglind Þorsteinsdóttir,2018/19,20,1.7,41,0,0,0.8,1.2,0.1,1.2,0.2,0.8,1.4,5,0.3,0.7,0.1
KA/Thor,Bergrós Ásta Guðmundsdóttir,2023/24,5,0.4,40,0,0,0,0.4,0.2,1.8,0,0,0,0.2,0,0.2,0
Haukar,Berta Rut Harðardóttir,2021/22,22,3.4,51.7,1.2,70.3,0.9,1.6,0.3,1.4,0.6,0.3,0.1,1,0,0.2,0
Haukar,Berta Rut Harðardóttir,2020/21,16,4.6,49.3,2.8,84.9,1.9,3,0.3,1.9,0.5,0.3,0.1,2.7,0.1,0.3,0
Haukar,Berta Rut Harðardóttir,2019/20,18,4.9,50.3,2,72,1.1,1.7,0.1,2.2,0.3,0.6,0.2,3.4,0.3,0.6,0
Haukar,Berta Rut Harðardóttir,2018/19,24,5.2,59,2.4,80.3,0.3,0.6,0.1,1,0.3,0.1,0.1,0.4,0,0.1,0
IBV,Birna Berg Haraldsdóttir,2023/24,5,9.2,63,3.8,90.5,3.2,4,0.4,1.8,0.4,0.6,0.4,1.6,0,0.4,0
IBV,Birna Berg Haraldsdóttir,2022/23,23,4.4,51.5,0,0,2.3,3.3,0.1,1.4,0.7,0.6,0.6,1.9,0,0.1,0
IBV,Birna Berg Haraldsdóttir,2021/22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IBV,Birna Berg Haraldsdóttir,2020/21,15,3.9,46.8,0.1,100,1.1,2.1,0.5,1.7,0.4,0.8,0.6,2.3,0,0.3,0
IBV,Birna Dís Sigurðardóttir,2023/24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH,Birna Íris Helgadóttir,2020/21,7,0,0,0,0,0,0,0,0,0.4,0,0.6,0.9,0.3,0.1,0
IBV,Birna María Unnarsdóttir,2023/24,3,0.7,40,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0
Haukar,Birta Lind Jóhannsdóttir,2023/24,5,0.8,80,0,0,0,0,0,0,0.2,0.6,0,0.2,0,0.4,0
Haukar,Birta Lind Jóhannsdóttir,2022/23,28,1.2,50.8,0,0,0.1,0.1,0,0,0.3,0.1,0,0.7,0,0,0
Haukar,Birta Lind Jóhannsdóttir,2021/22,23,2.8,64.4,0,0,0,0.1,0,0.3,0.6,0.7,0,0.6,0,0,0
Haukar,Birta Lind Jóhannsdóttir,2020/21,15,2.5,58.5,0,0,0.1,0.2,0,0.5,0.6,0.1,0,0.7,0,0.1,0
Haukar,Birta Lind Jóhannsdóttir,2019/20,18,1.4,58.1,0,0,0.1,0.1,0,0.3,0.2,0.4,0,0.8,0,0,0
Haukar,Birta Lind Jóhannsdóttir,2018/19,23,0.8,67.9,0,0,0,0,0.1,0.1,0.2,0,0,0.2,0,0,0
Stjarnan,Birta María Sigmundsdóttir,2023/24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stjarnan,Birta María Sigmundsdóttir,2022/23,19,0.1,33.3,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0
Stjarnan,Birta María Sigmundsdóttir,2021/22,10,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
Stjarnan,Birta María Sigmundsdóttir,2020/21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stjarnan,Birta María Sigmundsdóttir,2019/20,3,0.7,100,0,0,0,0,0.3,0,0,0,0,0,0,0,0
Stjarnan,Birta María Sigmundsdóttir,2018/19,4,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0
FH,Björg Bergsveinsdóttir,2020/21,3,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0,0,0
FH,Britney Cots,2020/21,12,3.9,35.3,0,0,1.9,2.9,0.3,5,0.1,0.5,0.5,3.5,0.3,0.8,0.1
