Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Valur,Morgan Marie Þorkelsdóttir,2021/22,23,2.3,53.5,0,0,0.5,1.1,1.5,72.2,0.3,1,1.08,1.5,0.3,0.2,0,1.3,0,0.2,0,6
Valur,Morgan Marie Þorkelsdóttir,2018/19,27,1.8,36.6,0,0,0.3,0.9,1.2,71.9,0.1,1.4,0.62,0.86,0.2,0.1,0.3,0.9,0,0.1,0,5.4
Valur,Morgan Marie Þorkelsdóttir,2017/18,18,2.8,49.5,0,0,0.7,1.4,2.3,61,0.2,2.2,0.63,1.03,0.4,0.3,0.3,2.9,0.2,0.1,0,6.2
Haukar,Natasja Hammer,2022/23,28,3.2,42.9,0,0,0.9,2.5,4.4,56.5,0.5,2.9,0.85,1.51,0.4,1,0.2,3.3,0.1,0.3,0,6.6
KA/Thor,Nathalia Soares Baliana,2023/24,21,4.2,40.2,0,33.3,0.3,1.2,2.3,53.1,1,2.8,0.44,0.83,0.2,1,0.6,2.3,0.4,0.6,0,6
KA/Thor,Nathalia Soares Baliana,2022/23,22,4.8,39.8,0,50,0.2,1.4,2,70.5,0.5,2.6,0.54,0.77,0.2,0.7,0.7,2.7,0.3,0.5,0,6.2
HK,Ólöf Ásta Arnþórsdóttir,2020/21,9,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,5
Stjarnan,Ólöf Ásta Arnþórsdóttir,2019/20,10,0.3,37.5,0,0,0.2,0.2,0.2,100,0,0.2,1,1,0,0.1,0,0.2,0,0,0,5.1
Fjolnir,Ólöf Ásta Arnþórsdóttir,2017/18,18,1.4,40,0.1,33.3,0.1,0.3,0.7,46.2,0.1,1.6,0.21,0.45,0.2,0.4,0,0.7,0.1,0.2,0,4.9
IBV,Ólöf María Stefánsdóttir,2022/23,28,0.3,75,0,0,0.1,0,0,0,0,0.2,0.2,0.2,0.1,0,0,0.5,0,0.1,0,5.1
IBV,Ólöf María Stefánsdóttir,2021/22,27,0.1,30,0,0,0.1,0,0.1,0,0,0.1,0,0.67,0.1,0,0,1.1,0,0,0,5.1
IBV,Ólöf María Stefánsdóttir,2020/21,15,0.1,66.7,0.1,100,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,5.1
Valur,Ólöf María Stefánsdóttir,2019/20,3,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0,0,0,0.7,0,0,0,5.1
Afturelding,Ólöf Marín Hlynsdóttir,2021/22,16,2.4,38.6,0,0,0.4,0.8,1.4,54.5,0.3,2.4,0.32,0.58,0.4,0.6,0,2.1,0.1,0.1,0,5.6
KA/Thor,Ólöf Marín Hlynsdóttir,2018/19,15,0.9,37.1,0,0,0.3,0.3,0.4,83.3,0.1,0.5,0.71,0.86,0.3,0.1,0,2.5,0.1,0.2,0,5.4
Afturelding,Ósk Hauksdóttir,2019/20,10,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,5
Grotta,Ósk Hind Ómarsdóttir,2017/18,1,2,66.7,0,0,0,3,3,100,0,4,0.75,0.75,1,2,0,1,1,1,0,5.9
Fram,Perla Ruth Albertsdóttir,2022/23,23,5.1,71.3,1,88.9,0.4,0.4,0.5,76.9,0,0.5,0.83,1.08,0.6,0.6,0.3,5,0,0.3,0,7.2
Fram,Perla Ruth Albertsdóttir,2021/22,25,2.4,72.8,0,0,0.3,0.2,0.2,100,0,0.5,0.38,0.38,0.4,0.3,0,0.6,0,0.1,0,5.8
Fram,Perla Ruth Albertsdóttir,2020/21,3,2,60,0,0,0.3,0,0,0,0,0.3,0,0,1,0.3,0,0.3,0,0,0,5.7
Fram,Perla Ruth Albertsdóttir,2019/20,18,3.1,75.3,0,0,0.6,0.3,0.3,100,0.1,0.7,0.46,0.46,0.1,0.4,0.2,3.1,0.1,0.3,0,6.4
Selfoss,Perla Ruth Albertsdóttir,2018/19,21,5.1,78.3,0,100,1,0.5,0.6,76.9,0.2,1,0.5,0.65,0.7,0.7,0.4,3.2,0,0.1,0,7.4
Selfoss,Perla Ruth Albertsdóttir,2017/18,4,5,76.9,0,0,1.5,1.3,1.3,100,0,1.5,0.83,0.83,1,1.5,0,8.5,0.3,0.3,0,8.2
KA/Thor,Rafaele Nascimento Fraga,2023/24,15,1.3,44.4,0,0,0.3,0.7,1.1,62.5,0.3,1.4,0.48,0.76,0.4,0.5,0,0.9,0.1,0.6,0,5.4
Fjolnir,Ragna Guðrún Snorradóttir,2017/18,3,0.3,25,0,0,0,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,5.1
Afturelding,Ragna Sif Úlfarsdóttir,2021/22,13,0.2,50,0,0,0.1,0.2,0.2,100,0,0.2,1,1,0,0,0.1,0.2,0,0,0,5.1
Haukar,Ragnheiður Sveinsdóttir,2023/24,28,1,73.7,0,0,0.2,0.3,0.3,90,0,0.1,2.25,2.5,0.3,0.2,0.5,1.8,0,0.4,0.1,5.6
Haukar,Ragnheiður Ragnarsdóttir,2023/24,29,2.3,65.7,0,0,0,0.2,0.2,83.3,0,0.3,0.5,0.6,0.3,0.7,0,0.6,0,0.2,0,5.8
Haukar,Ragnheiður Sveinsdóttir,2022/23,28,1.5,63.6,0,0,0.6,0.2,0.3,71.4,0.1,0.5,0.36,0.5,0.5,0.5,0.8,4.7,0.3,0.8,0,6.1
Fram,Ragnheiður Júlíusdóttir,2022/23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Haukar,Ragnheiður Ragnarsdóttir,2022/23,28,2.9,66.7,0,0,0.3,0.4,0.6,62.5,0.1,0.5,0.77,1.23,0.3,1.1,0,0.6,0,0.2,0,6.1
