Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Selfoss,Jón Þórarinn Þorsteinsson,2023/24,18,4.2,27.9,10.8,0.1,8,0.1,0,0.1,0.1,0,0,0
Selfoss,Jón Þórarinn Þorsteinsson,2022/23,20,4.9,30.9,11,0.2,19,0,0.2,0.3,0.1,0,0.1,0
FH,Júlíus Freyr Bjarnason,2021/22,2,1,25,3,0.5,50,0,0,0,0,0,0,0
FH,Júlíus Freyr Bjarnason,2020/21,4,0.5,14.3,3,0,0,0,0,0,0,0,0,0
HK,Kjartan Bogi Jónsson,2019/20,4,0,0,0,0,0,0,0,0,0,0,0,0
FH,Kristján Rafn Oddsson,2022/23,5,0.2,9.1,2,0,0,0,0,0,0,0,0,0
FH,Kristján Rafn Oddsson,2021/22,1,0,0,2,0,0,0,0,0,0,0,0,0
Stjarnan,Lárus Gunnarsson,2017/18,21,5.1,30.9,11.5,0.1,9.5,0.1,0,0.1,0.2,0,0,0
Fram,Lárus Helgi Ólafsson,2023/24,20,6.7,27.9,17.4,0.5,25.7,0.1,0,0.1,0,0,0,0
Fram,Lárus Helgi Ólafsson,2022/23,21,6.9,29.2,16.8,0.2,17.2,0.1,0,0.3,0,0,0,0
Fram,Lárus Helgi Ólafsson,2021/22,17,10.1,31.8,21.7,0.5,18.2,0.1,0,0.2,0.2,0,0,0
Fram,Lárus Helgi Ólafsson,2020/21,22,12.6,34.7,23.7,0.4,20.9,0.1,0,0.2,0.1,0,0,0
Fram,Lárus Helgi Ólafsson,2019/20,19,11.2,34,21.7,0.6,25,0.2,0,0.1,0.1,0,0.1,0
Fram,Lárus Helgi Ólafsson,2018/19,14,2.9,27.4,7.6,0.1,10,0,0,0.1,0,0,0,0.1
Afturelding,Lárus Helgi Ólafsson,2017/18,24,7.2,30.1,16.7,0.4,20,0.1,0,0.2,0,0,0,0
Haukar,Magnús Gunnar Karlsson,2023/24,24,4.2,30,9.7,0.3,20.6,0.2,0,0.3,0.1,0,0,0
Fram,Magnús Gunnar Erlendsson,2022/23,6,1,18.8,4.3,0,0,0,0,0.2,0,0,0,0
Haukar,Magnús Gunnar Karlsson,2022/23,12,3.4,26.3,9.6,0.2,14.3,0.3,0,0,0,0,0,0
Fram,Magnús Gunnar Erlendsson,2021/22,13,3.5,30.5,8.1,0.5,37.5,0,0,0,0,0,0,0
Haukar,Magnús Gunnar Karlsson,2021/22,17,1.4,28.2,3.6,0.2,21.1,0,0,0,0,0,0,0
Haukar,Magnús Gunnar Karlsson,2020/21,3,0,0,0.3,0,0,0,0,0,0,0,0,0
Valur,Martin Nagy,2020/21,28,7.8,33.5,15.5,0.4,18.8,0,0,0.2,0,0,0,0
Haukar,Matas Pranckevicus,2022/23,34,3.4,25.9,9.6,0.2,17.1,0,0,0.1,0,0,0,0
KA,Nicholas Adam Satchwell,2022/23,22,8,32.6,16.6,0.4,20.5,0,0,0.3,0.1,0,0,0
KA,Nicholas Adam Satchwell,2021/22,23,8.4,29.1,20.4,0.4,16.1,0,0,0.2,0.1,0,0,0
KA,Nicholas Adam Satchwell,2020/21,24,10.5,31.7,22.6,0.5,21.7,0,0,0.1,0,0,0,0
KA,Nicolai Horntvedt Kristensen,2023/24,22,5.1,29.7,12,0.3,20,0,0,0,0.2,0,0,0
IR,Óðinn Sigurðsson,2020/21,20,3.9,22,13.8,0.1,2.8,0,0,0.3,0.1,0,0,0
IR,Óðinn Sigurðsson,2019/20,20,2.2,31.2,4.9,0.1,10.5,0,0,0.1,0.1,0,0,0
IR,Óðinn Sigurðsson,2018/19,12,1.2,22.2,4.1,0.1,14.3,0,0,0,0,0,0,0
IR,Óðinn Sigurðsson,2017/18,22,0.6,20.3,2.3,0,25,0,0,0,0,0,0,0
IR,Ólafur Rafn Gíslason,2022/23,22,11.8,29.1,28.8,0.4,17.6,0.2,0.1,0.4,0.1,0,0,0
IR,Ólafur Rafn Gíslason,2020/21,22,5.9,24.8,17.8,0.3,11.1,0,0.1,0.4,0.2,0,0,0
Stjarnan,Ólafur Rafn Gíslason,2019/20,13,5.5,27.4,14.7,0.2,11.5,0,0,0.2,0.1,0,0,0
Stjarnan,Ólafur Rafn Gíslason,2018/19,14,1.6,26.8,4.3,0,0,0,0,0.1,0.1,0.1,0,0
Stjarnan,Ólafur Rafn Gíslason,2017/18,5,4.2,34.4,8,0.2,20,0.2,0.4,0.2,0,0,0,0
KA,Óskar Þórarinsson,2023/24,3,0,0,1.7,0,0,0,0,0,0,0,0,0
KA,Óskar Þórarinsson,2021/22,2,0,0,0.5,0,0,0,0,0,0,0,0,0
HK,Patrekur Guðni Þorbergsson,2023/24,5,1.8,34.6,3.4,0,0,0,0,0,0,0,0,0
IBV,Pavel Miskevich,2023/24,29,6.1,29.8,14.3,0.6,26.7,0,0,0.3,0,0,0,0
IBV,Pavel Miskevich,2022/23,20,6.3,28,16.2,0.4,15.1,0,0.1,0.1,0.1,0,0,0
IBV,Páll Eiríksson,2020/21,2,1,66.7,0.5,0.5,50,0,0,0,0,0,0,0
