Lið,Nafn,Tímabil,Leikir,Mörk,%,Víti,V%,FiV,Sto,Sk.F,P%,S7m,TB,Sto/TB,Sk.F/TB,Frk,Stl,Blk,Stp,Gul,2m,Rau,Eink
Haukar,Daníel Þór Ingason,2018/19,34,4.5,55.1,0,0,0.3,2.3,2.9,78.6,0.2,1.8,1.28,1.63,0.2,0.9,0.4,3.6,0.2,0.5,0,7
Haukar,Daníel Þór Ingason,2017/18,26,5.2,56.9,0.3,66.7,0.4,2,3.1,65.4,0.2,1.5,1.36,2.08,0.6,1,0.9,4.2,0.5,0.7,0,7.4
Vikingur,Daníel Örn Griffin,2023/24,7,2.1,57.7,0,0,0.3,0.6,1.3,44.4,0,0.7,0.8,1.8,0.3,0.1,0,1.9,0,0.3,0,5.9
Valur,Daníel Örn Guðmundsson,2023/24,9,0.8,87.5,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.3,0,5.2
Grotta,Daníel Örn Griffin,2022/23,18,2,52.2,0,0,0.2,1.3,1.8,72.7,0,0.9,1.5,2.06,0.3,0.4,0,2.6,0.1,0.2,0,6
Grotta,Daníel Örn Griffin,2021/22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Grotta,Daníel Örn Griffin,2020/21,19,3.8,51.8,0,0,0.7,1.5,2.1,70,0.3,2,0.74,1.05,0.3,0.5,0.2,5.8,0.2,0.3,0,6.8
KA,Daníel Örn Griffin,2019/20,18,3.2,54.3,0,0,0.8,0.9,1.2,72.7,0.1,1.6,0.57,0.79,0.3,0.4,0,5.7,0.2,0.6,0.1,6.2
IBV,Daníel Örn Griffin,2018/19,23,0.4,50,0,0,0,0.2,0.3,66.7,0.1,0.2,0.8,1.2,0.1,0.1,0,1.5,0,0,0,5.3
IBV,Daníel Örn Griffin,2017/18,26,0.6,68.2,0,0,0,0,0.1,0,0,0.3,0,0.29,0.2,0,0,0.9,0,0.1,0,5.2
Haukar,Darri Aronsson,2021/22,27,3.8,46.2,0,0,0.3,2.3,2.9,78.5,0.3,1.6,1.41,1.8,0.2,0.4,0.5,3.9,0.2,0.8,0.1,6.5
Haukar,Darri Aronsson,2020/21,16,3.6,55.8,0,0,0.3,1.8,2.6,70,0.3,1.2,1.47,2.11,0.3,0.3,0.4,3.3,0.1,0.6,0.1,6.5
Haukar,Darri Aronsson,2019/20,2,0.5,25,0,0,1,0.5,0.5,100,0,0.5,1,1,0,0,1.5,7,1,0.5,0,6.2
Haukar,Darri Aronsson,2018/19,31,0.3,45,0,0,0.1,0.2,0.3,63.6,0,0.4,0.58,0.92,0.1,0.1,0.2,2.5,0.2,0.7,0.1,5.2
IBV,Darri Viktor Gylfason,2017/18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
HK,Davíð Elí Heimisson,2021/22,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
FH,Davíð Stefán Reynisson,2019/20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,5.1
FH,Davíð Stefán Reynisson,2018/19,22,0.3,100,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0.4,0,0,0,5.2
IBV,Dániel Pintér Pintér,2023/24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IBV,Dánjal Ragnarsson,2023/24,13,1.3,56.7,0.2,100,0.2,0.9,1.4,63.2,0.1,0.4,2.4,3.8,0.3,0.2,0,0.8,0,0.2,0,5.7
IBV,Dánjal Ragnarsson,2022/23,28,1.6,63,0,100,0.3,0.8,1.3,62.9,0.2,0.7,1.16,1.84,0.1,0.3,0.1,1.1,0.1,0.3,0,5.7
IBV,Dánjal Ragnarsson,2021/22,29,1.4,69.5,0,0,0.1,0.5,0.6,82.4,0.1,0.4,1.17,1.42,0.2,0.2,0,0.9,0,0.1,0,5.6
IR,Eggert Sveinn Jóhannsson,2020/21,18,1.2,59.5,0,0,0.1,0.1,0.1,100,0,0.4,0.13,0.13,0.1,0.4,0,0.4,0,0,0,5.3
IR,Eggert Sveinn Jóhannsson,2019/20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
IR,Eggert Sveinn Jóhannsson,2018/19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,4.9
IR,Eggert Sveinn Jóhannsson,2017/18,6,0.2,100,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1
Haukar,Egill Jónsson,2023/24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Stjarnan,Egill  Magnússon,2023/24,19,2.1,42.6,0,0,0.2,1.7,2.5,67.3,0.3,0.8,2.06,3.06,0.2,0.3,0,0.6,0.1,0.2,0,5.9
FH,Egill  Magnússon,2022/23,18,1.6,33.7,0,0,0.1,1.6,2.5,62.2,0.5,0.8,1.87,3,0.1,0.1,0,0.3,0,0.1,0,5.5
FH,Egill  Magnússon,2021/22,16,4,42.4,0,0,0.4,3.1,4.2,74.2,0.5,1.7,1.81,2.44,0,0.2,0.1,0.8,0,0.1,0,6.5
FH,Egill  Magnússon,2020/21,17,3.7,46.7,0,0,0.2,3.4,4.6,74,0.6,1.9,1.78,2.41,0.4,0.2,0.1,0.3,0,0.1,0,6.6
IR,Egill Björgvinsson,2020/21,8,0,0,0,0,0.5,0,0.3,0,0,0.3,0,1,0,0.1,0,0.3,0,0,0,5.1
FH,Egill  Magnússon,2019/20,7,1.7,52.2,0,0,0.1,1.3,1.9,69.2,0.3,0.9,1.5,2.17,0,0.1,0,0.4,0,0,0,5.8
Stjarnan,Egill  Magnússon,2018/19,17,6.5,46.4,0,0,0.1,2.7,3.6,75.4,0.2,1.4,2,2.65,0.2,0.2,0.6,2.5,0.1,0.2,0,7.1
Stjarnan,Egill  Magnússon,2017/18,21,5.8,51,0,0,0.3,2,2.9,68.3,0.2,1.8,1.11,1.62,0.4,0.4,0.3,2.4,0.2,0.3,0,7
Afturelding,Egill Már Hjartarson,2020/21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Afturelding,Egill Már Hjartarson,2019/20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,5
