Lið,Nafn,Tímabil,Leikir,Varin,% Varsla,Mörk á,Víti Varin,Víta %,Stl,Mörk,Stoð,TB,Gul,2Mín,Rau
Stjarnan,Elín Eyfjörð Ármannsdóttir,2022/23,21,0.2,33.3,0.5,0,20,0,0,0,0,0,0,0
Stjarnan,Elín Eyfjörð Ármannsdóttir,2021/22,1,3,37.5,5,0,0,0,0,0,0,0,0,0
Haukar,Elín Jóna Þorsteinsdóttir,2017/18,16,12.4,41.1,17.8,0.9,33.3,0.1,0.1,0.3,0.5,0,0,0
Haukar,Elísa Helga Sigurðardóttir,2023/24,28,2.2,29.2,5.3,0.1,11.8,0,0,0.1,0,0,0,0
Haukar,Elísa Helga Sigurðardóttir,2022/23,23,2,26,5.7,0,5.9,0,0,0.1,0,0,0,0
HK,Elísa Helga Sigurðardóttir,2021/22,1,0,0,1,0,0,0,0,0,0,0,0,0
Stjarnan,Elísabet Millý Elíasardóttir,2023/24,19,2.9,25.3,8.5,0.2,14.3,0.1,0,0.1,0.1,0,0,0
Stjarnan,Elísabet Millý Elíasardóttir,2022/23,11,0.4,15.4,2,0,0,0,0,0.2,0.1,0,0,0
Valur,Emelía Dögg Sigmarsdóttir,2020/21,1,0,0,5,0,0,0,0,0,0,0,0,0
Valur,Emelía Dögg Sigmarsdóttir,2019/20,1,10,33.3,20,0,0,0,0,0,0,0,0,0
Valur,Emelía Dögg Sigmarsdóttir,2018/19,6,0.3,50,0.3,0,0,0,0,0,0,0,0,0
Valur,Emelía Dögg Sigmarsdóttir,2017/18,4,0.8,23.1,2.5,0,0,0.3,0,0,0,0,0,0
IBV,Erla Rós Sigmarsdóttir,2021/22,25,2.6,27.8,6.8,0.1,10.5,0,0,0.2,0.1,0,0,0
Fram,Erla Rós Sigmarsdóttir,2018/19,27,7.7,31,17.3,0.4,17.6,0.1,0,0.4,0.1,0,0,0
IBV,Erla Rós Sigmarsdóttir,2017/18,7,7.1,32.3,15,0.3,12.5,0,0,0.1,0,0,0,0
Haukar,Erla Rut Viktorsdóttir,2023/24,1,0,0,0,0,0,0,0,0,0,0,0,0
Fram,Ethel Gyða Bjarnasen,2023/24,18,3.8,30,8.9,0.3,18.8,0.1,0,0.2,0.2,0,0,0
HK,Ethel Gyða Bjarnasen,2022/23,20,5.4,21,20.4,0.4,13.7,0.2,0,0,0.2,0,0,0
HK,Ethel Gyða Bjarnasen,2021/22,1,0,0,1,0,0,0,0,0,0,0,0,0
Stjarnan,Eva Dís Sigurðardóttir,2022/23,7,0.7,18.5,3.1,0,0,0,0,0,0,0,0,0
Afturelding,Eva Dís Sigurðardóttir,2021/22,20,6.2,22.5,21.2,0.2,8.5,0.3,0.1,0.2,0.2,0,0,0
Afturelding,Eva Dís Sigurðardóttir,2019/20,19,4.6,27,12.5,0.2,9.8,0,0,0.1,0.2,0,0,0
Valur,Hafdís Renötudóttir,2023/24,22,9.9,41,14.3,0.4,25.7,0,0,0.3,0,0,0,0
Fram,Hafdís Renötudóttir,2022/23,23,14,39.9,21.1,0.9,22.7,0.2,0.1,0.6,0.4,0,0,0
Fram,Hafdís Renötudóttir,2021/22,27,12.8,38.2,20.7,0.6,17.2,0,0.1,0.7,0.1,0,0,0
Fram,Hafdís Renötudóttir,2019/20,15,8.7,44.6,10.9,0.5,31.8,0.1,0,0.5,0.3,0,0,0
Stjarnan,Hafdís Hanna Einarsdóttir,2021/22,3,0,0,1.7,0,0,0,0,0,0,0,0,0
Stjarnan,Hafdís Hanna Einarsdóttir,2020/21,5,0,0,0.2,0,0,0,0,0,0,0,0,0
Stjarnan,Heiða Ingólfsdóttir,2020/21,4,5,36.4,8.8,0.3,16.7,0,0,0,0.5,0,0,0
Haukar,Heiðbjört Anna Guðmundsdóttir,2022/23,7,0.7,23.8,2.3,0.1,25,0,0,0,0,0,0,0
Haukar,Heiðbjört Anna Guðmundsdóttir,2021/22,8,0.6,18.5,2.8,0.1,25,0.1,0,0,0,0,0,0
Stjarnan,Heiðrún Dís Magnúsdóttir,2020/21,5,5.6,32.9,11.4,0.2,16.7,0,0,0.8,0,0,0,0
